FROM_DATE,avg_cost_per_service,total_cost,unique_members
2022-05-31,0.0,0.0,1
2022-06-30,,0.0,0
2022-07-31,0.0,0.0,1
2022-08-31,,0.0,0
2022-09-30,86.07,17083987.45,61028
2022-10-31,84.66,21054403.46,70323
2022-11-30,83.24,17642766.94,64261
2022-12-31,90.15,20634254.73,67573
2023-01-31,71.94,32201730.21,106795
2023-02-28,73.07,30846727.16,105923
2023-03-31,78.57,36208191.49,113581
2023-04-30,81.04,36430372.76,112290
2023-05-31,84.9,37474154.64,111335
2023-06-30,86.01,36680641.28,109186
2023-07-31,90.04,39299022.37,109380
2023-08-31,87.96,37297960.44,108389
2023-09-30,88.36,38571756.98,111055
2023-10-31,81.76,38475869.47,114799
2023-11-30,86.91,35670953.84,107166
2023-12-31,88.2,38064003.48,113208
2024-01-31,79.14,6652538.53,40983
2024-02-29,82.3,5117096.47,34079
2024-03-31,87.23,5732173.08,36055
2024-04-30,82.88,4841969.45,33226
2024-05-31,85.93,4888446.6,33098
2024-06-30,80.94,4223285.76,31105
2024-07-31,90.74,3357951.45,23285
2024-08-31,87.5,1732579.56,13055
2024-09-30,90.67,61471.28,623
